file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0129_Chikuj_Fukuoka.fasta,1905,0,0.000,,0,,1.9391,1274,0.6705
0130_Jack_Mendelsohn.fasta,470,0,0.000,,0,,1.9676,144,0.3097
0131_Pontey.fasta,2982,5,1.677,51.15,3,60.0,1.9482,2290,0.7692
0132_Natalino_Pescarolo.fasta,1663,0,0.000,,0,,1.9768,1091,0.6580
0133_Charlie_s_Angels.fasta,2626,1,0.381,55.95,1,100.0,1.9410,1920,0.7325
0134_Vedas.fasta,553,0,0.000,,0,,1.9578,238,0.4343
0135_Guizancourt.fasta,3534,12,3.396,50.48,10,83.3,1.9397,2776,0.7866
0136_Kristianstad_County.fasta,583,1,1.715,56.51,1,100.0,1.9686,313,0.5415
0137_Sandy_Dennis.fasta,3245,3,0.924,51.49,3,100.0,1.9547,2369,0.7312
0138_Anglo-Saxon_England.fasta,3517,3,0.853,51.30,1,33.3,1.9399,2805,0.7987
0139_Ted_Cassidy.fasta,2160,2,0.926,51.96,2,100.0,1.9547,1421,0.6594
0140_DougDoug.fasta,2596,5,1.926,48.08,5,100.0,1.9356,1942,0.7495
0141_Bokermannohyla_vulcaniae.fasta,1075,0,0.000,,0,,1.9735,562,0.5252
0142_Branchiopoda.fasta,1525,0,0.000,,0,,1.9669,971,0.6388
0143_Latvian_language.fasta,1884,4,2.123,51.48,4,100.0,1.9412,1287,0.6849
0144_Police_action.fasta,642,0,0.000,,0,,1.9497,344,0.5400
0145_L_c_Anh.fasta,572,0,0.000,,0,,1.9457,242,0.4268
0146_8TV_Malaysian_TV_network_.fasta,2142,0,0.000,,0,,1.9707,1515,0.7089
0147_Serres-Morla_s.fasta,3152,6,1.904,51.41,6,100.0,1.9227,2438,0.7747
0148_Rory_Bushfield.fasta,4042,2,0.495,48.52,2,100.0,1.9658,3127,0.7746
0149_Aston_Villa_F.C..fasta,518,1,1.931,60.61,1,100.0,1.9740,285,0.5556
0150_Saho_people.fasta,4242,8,1.886,50.74,6,75.0,1.9378,3494,0.8246
0151_Four_Books_and_Five_Classics.fasta,3783,5,1.322,49.86,5,100.0,1.9568,3003,0.7949
0152_David_Koechner.fasta,3713,2,0.539,49.56,2,100.0,1.9629,2816,0.7594
0153_Howell_County_Missouri.fasta,770,2,2.597,49.54,1,50.0,1.8532,503,0.6575
0154_Hammon_Oklahoma.fasta,1626,3,1.845,49.51,3,100.0,1.8731,1238,0.7637
0155_Adenomera_engelsi.fasta,4142,2,0.483,55.57,2,100.0,1.9660,3264,0.7890
0156_Oumar_Diakit_.fasta,4747,2,0.421,45.94,2,100.0,1.9771,3819,0.8054
0157_Jos_Salcedo.fasta,4800,5,1.042,54.18,5,100.0,1.9583,3800,0.7925
0158_Nicktoons_Racing.fasta,3488,0,0.000,,0,,1.9496,2735,0.7852
0159_List_of_Yuva_Puraskar_winners_for_Meitei.fasta,4825,3,0.622,53.79,2,66.7,1.9640,3791,0.7865
0160_Ivan_VI_of_Russia.fasta,2161,2,0.925,48.30,2,100.0,1.9633,1518,0.7041
0161_Aminpur.fasta,2546,2,0.786,46.74,2,100.0,1.9137,1983,0.7804
0162_Saint-Martin-de-Crau.fasta,1880,3,1.596,52.18,3,100.0,1.9443,1330,0.7093
0163_Table_salt.fasta,3707,6,1.619,51.96,5,83.3,1.9449,2985,0.8063
0164_AMC_TV_channel_.fasta,2407,5,2.077,49.88,5,100.0,1.9629,1654,0.6886
0165_Diet_in_diabetes.fasta,3425,2,0.584,50.51,2,100.0,1.9498,2612,0.7637
0166_Lee_Dong-hae.fasta,2448,4,1.634,53.95,3,75.0,1.9633,1685,0.6897
0167_Hermanns_tortoises.fasta,978,0,0.000,,0,,1.9577,543,0.5581
0168_Eurocentrism.fasta,2323,0,0.000,,0,,1.9812,1602,0.6911
0169_Aopo.fasta,1775,2,1.127,50.19,2,100.0,1.9566,1108,0.6260
0170_John_Abraham.fasta,1494,1,0.669,47.91,1,100.0,1.9250,984,0.6608
0171_Imre_Nagy.fasta,839,2,2.384,50.73,2,100.0,1.9537,448,0.5372
